res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,40.0,50.0,0.25,1.0,0.5,0.09567761529506039,0.09154763839405874,0.18513288954896323,0.2810137885009544,0.2891361711881935,0.2364475531401311,0.24732902888531874,-0.6577772215583304
default,0.0,0.8,20.0,30.0,0.0,0.5,0.5,0.11727592760155248,0.1424284722687428,0.20307946955493736,0.3604992929622251,0.30889790356899244,0.2632356468291642,0.19131822403326107,-0.42574809283311443
default,0.0,0.8,0.01,0.005,0.2,1.0,0.9,0.11186090040392956,0.11773334704926905,0.1303368556683425,0.11634967953606735,0.18529597638983078,0.1319130170831712,0.1898612909010961,-0.5023739345343466
default,0.0,0.8,1.0,10.0,0.0,0.0,0.0,0.17373338857095402,0.25046072190678637,0.27251818408508177,0.5709771202613635,0.4333878118584609,0.39974076839559514,0.20647827839824054,0.40289290582162857
default,0.0,0.8,20.0,30.0,0.5,0.5,0.0,0.07632405325432264,-0.012412013750518997,0.1654798611234449,0.13230993514203546,0.25083094198316547,0.1841533099297259,0.3016806592429769,-0.8907662466267203
default,0.0,0.8,0.01,0.005,1.0,1.0,1.0,0.0854998025364867,0.04856394525208917,0.11087430535124689,0.07261164903907052,0.18489229711642957,0.1294874652096814,0.18023282049152992,-0.47962509920220925
default,0.0,0.8,5.0,1.0,0.0,1.0,0.0,0.13954939747012368,-0.1980227828257967,0.32543989749079755,-0.7760305276438859,0.13644879070425084,0.030284832099235656,0.39195221120612844,-1.2601300776093995
default,0.0,0.8,10.0,1.0,0.5,0.5,1.0,0.11513990400390742,0.1445362957166572,0.134443895669114,0.16463915090986284,0.2415981951221665,0.18071957063261568,0.21320503353353415,-0.5753271799593112
default,0.0,0.8,10.0,5.0,0.0,0.0,0.0,0.1729911480236517,0.24925047172918716,0.27543168212463975,0.5775043152920195,0.42656958624432784,0.39732026379001384,0.1739818181851349,0.2973667710703157
default,0.0,0.8,1.0,1.0,0.5,0.0,0.5,0.07402332720204297,0.044292747874284534,0.1181475058910689,0.03191704664022897,0.30886270241361985,0.2713291634441027,0.18984322466697898,-0.5185117124918821
default,0.0,0.8,0.001,0.0005,0.5,1.0,1.0,0.09135565524939654,0.06736343345118129,0.11663782469928875,0.06267189260025968,0.1712452100464409,0.12239294508772999,0.1918287869965791,-0.5202735722359917
default,0.0,0.8,5.0,5.0,0.0,0.5,1.0,0.14048949020281445,0.1973917526502745,0.1654012985019065,0.29280402590686033,0.2617968064722474,0.20354517634549574,0.20275086942249448,-0.5201743573613299
default,0.0,0.8,0.01,0.005,0.5,1.0,1.0,0.09016957626986591,0.06953319105262218,0.11696402950964215,0.08594034462112021,0.15713703413643473,0.11134093781764239,0.18903196050866256,-0.5154881807645775
default,0.0,0.8,10.0,1.0,1.0,0.5,0.5,0.08618871966280685,0.07951411345933297,0.13388632907663336,0.10942469987428177,0.20831273181096696,0.15062599838193275,0.24173382063929474,-0.6756201811794469
default,0.0,0.8,20.0,30.0,0.25,0.5,0.75,0.11135876995733365,0.13288843390986563,0.18683450022266426,0.31608908467940033,0.3233297198986754,0.2762772785541934,0.1742409686514223,-0.3709300582112605
default,0.0,0.8,40.0,50.0,0.0,0.0,0.4,0.15142583504052196,0.2086378604950247,0.22973464121706214,0.4562282660967848,0.4245782831413143,0.3814750415526854,0.13215307510372157,0.12852537424421692
default,0.0,0.8,40.0,50.0,0.25,0.0,1.0,0.12871412267646,0.16606699298053879,0.1890814031881768,0.3348450663156034,0.3928440498987747,0.35521009383422975,0.1308568766452624,0.007286494128842533
